max_TCP_windows_size_value_forward_traffic_ratio,max_ttl_backward_traffic_enc,min_ttl_forward_traffic,total_TCP_windows_size_value_forward_traffic_ratio,IPratio_ratio,std_forward_packet_length_ratio,min_backward_packet_length,std_forward_packet_length_enc,mean_ttl_backward_traffic_ratio,IPratio_enc,min_forward_packet_length,std_length_of_IP_packet_ratio,min_ttl_backward_traffic_ratio,max_Interval_of_arrival_time_of_backward_traffic_ratio,meidan_length_of_IP_packet_ratio,max_length_of_IP_packet_ratio,std_length_of_IP_packet_enc,max_Change_values_of_TCP_windows_length_per_session,flow_duration_of_backward_traffic_ratio,median_ttl_backward_traffic,mean_backward_packet_length_ratio,median_forward_packet_length_ratio,std_TCP_windows_size_value_backward_traffic_ratio,std_Length_of_TCP_packet_header,max_Interval_of_arrival_time_of_backward_traffic_enc,mean_forward_packet_length_ratio,median_TCP_windows_size_value_backward_traffic_ratio,label,unique_link_mark
0.5020632737276479,0.0,0.0,0.5020632737276479,3.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.49793672627235214,1,session_0
0.9612852251777719,0.0,0.0,0.9612852251777719,1.9519230769230769,0.7731591060095601,0,228.4931854,0.0,1.9519230769230769,0,0.9568068601857285,0.0,1.0002816178660834,1.0,2.833550120744694,360.6323104,0.0,0.5,0.0,1.8354767760692983,0.5719724891073548,0.0,0.0,2276775,0.5719724891073548,0.03871477482222808,1,session_1
0.5020632737276479,0.0,0.0,0.5020632737276479,3.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.49793672627235214,1,session_2
0.9919826063323821,0.0,0.0,0.9919826063323821,1.25,0.22906345603190603,0,268.3281573,0.0,1.25,0,2.7472006401347655,0.0,1.0002394130184327,1.0,8.736576121288692,1304.645584,0.0,0.5,0.0,1.9657296272899558,0.22741629816803538,0.0,0.0,5005103,0.22741629816803538,0.008017393667617882,1,session_3
0.5,0.0,0.0,0.5,1.0,0.0,140,0.0,0.0,1.0,34,0.7599292028795811,0.0,2.3309344133329448e-05,1.0,1.832460732984293,58.0585911,0.0,0.5,0.0,1.6091954022988506,0.39080459770114945,0.0,0.0,4,0.39080459770114945,0.5,0,session_4
0.5020632737276479,0.0,0.0,0.5020632737276479,3.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.49793672627235214,1,session_5
0.5020632737276479,0.0,0.0,0.5020632737276479,3.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.49793672627235214,1,session_6
0.5020632737276479,0.0,0.0,0.5020632737276479,3.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.49793672627235214,1,session_7
0.5020632737276479,0.0,0.0,0.5020632737276479,3.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.49793672627235214,1,session_8
0.992488490428883,0.0,0.0,0.992488490428883,1.0,0.6471845006670577,0,296.9908609,0.0,1.0,0,1.5171359932087225,0.0,1.0213405799938915,1.0,4.610526315304155,480.4263979,0.0,0.5,0.0,1.4185263157718515,0.5814736842281485,0.0,0.0,3521232,0.5814736842281485,0.007511509571117034,0,session_9
