max_TCP_windows_size_value_forward_traffic_ratio,max_ttl_backward_traffic_enc,min_ttl_forward_traffic,total_TCP_windows_size_value_forward_traffic_ratio,IPratio_ratio,std_forward_packet_length_ratio,min_backward_packet_length,std_forward_packet_length_enc,mean_ttl_backward_traffic_ratio,IPratio_enc,min_forward_packet_length,std_length_of_IP_packet_ratio,min_ttl_backward_traffic_ratio,max_Interval_of_arrival_time_of_backward_traffic_ratio,meidan_length_of_IP_packet_ratio,max_length_of_IP_packet_ratio,std_length_of_IP_packet_enc,max_Change_values_of_TCP_windows_length_per_session,flow_duration_of_backward_traffic_ratio,median_ttl_backward_traffic,mean_backward_packet_length_ratio,median_forward_packet_length_ratio,std_TCP_windows_size_value_backward_traffic_ratio,std_Length_of_TCP_packet_header,max_Interval_of_arrival_time_of_backward_traffic_enc,mean_forward_packet_length_ratio,median_TCP_windows_size_value_backward_traffic_ratio,label,unique_link_mark
,0.0,0.0,,,1.8170366985781865,0,268.7797012011,0.0,,0,,0.0,1.0000075573232483,,,,0.0,0.5,0.0,,,0.0,0.0,55178684,,,0,10.152.152.11-27.33.111.93-41197-61914-6
,0.0,0.0,,,1.7488297234004657,0,316.3603526475,0.0,,0,,0.0,1.0000023963325035,,,,0.0,0.5,0.0,,,0.0,0.0,69689995,,,0,10.152.152.11-64.251.188.25-53278-51413-6
,0.0,0.0,,,0.0,0,0.0,0.0,,0,,0.0,0.0,,,,0.0,0.5,0.0,,,0.0,0.0,0,,,0,131.202.240.150-131.202.240.183-139-64094-6
,0.0,0.0,,,0.0,0,0.0,0.0,,0,,0.0,0.0,,,,0.0,0.5,0.0,,,0.0,0.0,0,,,0,10.152.152.11-91.96.202.217-47717-6881-6
,0.0,0.0,,,0.0,0,0.0,0.0,,0,,0.0,0.0,,,,0.0,0.5,0.0,,,0.0,0.0,0,,,0,10.152.152.11-125.121.62.18-57965-62387-6
,0.0,0.0,,,0.0,0,0.0,0.0,,0,,0.0,0.0,,,,0.0,0.5,0.0,,,0.0,0.0,0,,,0,54.230.14.225-10.152.152.11-80-46787-6
,0.0,0.0,,,0.0,0,0.0,0.0,,22,,0.0,0.0,,,,0.0,0.5,0.0,,,0.0,0.0,0,,,0,131.202.240.242-224.0.0.252-61082-5355-17
,0.0,0.0,,,1.963151573616675,0,150.6884202585,0.0,,0,,0.0,0.019941669264597364,,,,0.0,0.5,0.0,,,0.0,0.0,2160661,,,0,10.152.152.11-94.23.121.88-50776-49400-6
,0.0,0.0,,,2.0,0,39.2598183049,0.0,,0,,0.0,1.0,,,,0.0,0.5,0.0,,,0.0,0.0,374627,,,0,10.152.152.11-37.144.56.180-59048-51413-6
,0.0,0.0,,,0.9751982988713701,0,413.9760277059,0.0,,0,,0.0,1.0000009362152276,,,,0.0,0.5,0.0,,,0.0,0.0,51270310,,,0,10.152.152.11-60.25.90.97-43933-12750-6
,0.0,0.0,,,0.0,0,0.0,0.0,,22,,0.0,0.0,,,,0.0,0.5,0.0,,,0.0,0.0,0,,,0,131.202.243.154-224.0.0.252-60157-5355-17
,0.0,0.0,,,0.986149525651531,0,406.9473442912,0.0,,0,,0.0,1.0,,,,0.0,0.5,0.0,,,0.0,0.0,35786504,,,0,10.152.152.11-79.143.177.85-56442-6881-6
,0.0,0.0,,,0.0,46,0.0,0.0,,46,,0.0,0.00028307420442226874,,,,0.0,0.5,0.0,,,0.0,0.0,305,,,0,10.152.152.11-10.152.152.10-59402-53-17
